"i","pi","accuracy"
6231844.22110553,3.14162859426015,0.00114402706907768
6332341.70854271,3.14226441273005,0.0213827575479497
6432839.1959799,3.14229524229866,0.0223640931954483
6533336.68341709,3.14169818495632,0.00335916772680189
6633834.17085427,3.14116444024958,-0.0136304539585241
6734331.65829146,3.14173240546454,0.0044484403343592
6834829.14572864,3.14214028501666,0.0174316497157934
6935326.63316583,3.14270648707006,0.0354544208331031
7035824.12060302,3.14299670101826,0.0446922177153031
7136321.6080402,3.14228214921472,0.0219473273894266
7236819.09547739,3.14126299138895,-0.0104934737628293
7337316.58291457,3.14196883008727,0.0119740698095727
7437814.07035176,3.14228774461616,0.0221254345491362
7538311.55778894,3.14112780010186,-0.0147967460836784
7638809.04522613,3.1411901852679,-0.012810964573351
7739306.53266332,3.14084419545984,-0.0238241622158575
7839804.0201005,3.14198772531105,0.0125755234627434
7940301.50753769,3.14101271548996,-0.0184600030550652
8040798.99497487,3.14190617322837,0.0099796400470531
8141296.48241206,3.14180426364006,0.00673575710143925
8241793.96984925,3.14174123919208,0.0047296266153074
8342291.45728643,3.14149561115006,-0.00308895679450583
8442788.94472362,3.14197028655776,0.0120204307054284
8543286.4321608,3.14105540216715,-0.017101243919404
8643783.91959799,3.14162503975029,0.00103088350633662
8744281.40703518,3.14245284671332,0.0273807975244234
8844778.89447236,3.14145060396759,-0.00452157990757929
8945276.38190955,3.14119931015499,-0.0125205103963189
9045773.86934673,3.14126579001605,-0.0104043906956175
9146271.35678392,3.14107496697998,-0.0164784765848025
9246768.84422111,3.14136110563136,-0.00737040042958492
9347266.33165829,3.14129018668828,-0.00962782049934718
9447763.81909548,3.14223011587119,0.0202910546237112
9548261.30653266,3.14075861952819,-0.0265481287221037
9648758.79396985,3.14152904505644,-0.0020247225012926
9749256.28140704,3.14106790467718,-0.0167032766650088
9849753.76884422,3.14158756921199,-0.000161840771828459
9950251.25628141,3.14073556487046,-0.0272819812699998
10050748.7437186,3.14165648800384,0.00203191250711665
10151246.2311558,3.1415260031939,-0.00212154799293929
10251743.718593,3.14182688176101,0.00745571425222469
10352241.2060302,3.14134527517164,-0.0078742996125758
10452738.6934673,3.14153687019102,-0.00177564073130521
10553236.1809045,3.14188438803215,0.00928619571440858
10653733.6683417,3.14094204358016,-0.020709559811527
10754231.1557789,3.14138012384514,-0.00676503188301592
